year,occ,ag,natres,constr,man_hvy,man_lgt,man_tech,man_bio,logis,ret_loc,ret_reg,transp,util,info,fire,lease,prof,serv_bus,art_rec,hotel,eat,serv_per,health,serv_soc,ed_k12,ed_high,ed_oth,gov,unclass
2013,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,srv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
