id,juris,city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,plandate
2444,4,Emeryville,Water,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2501,5,Fremont,RESVL1,,30,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2502,5,Fremont,RESVL2,,30,1.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2503,5,Fremont,RESVL3,,30,2.3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2504,5,Fremont,RESL1,,30,3.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2505,5,Fremont,RESL2,,30,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2506,5,Fremont,RESL3,,30,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2507,5,Fremont,RESL4,,30,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2508,5,Fremont,RESM1,,30,10,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
2509,5,Fremont,RESM2,,52,15,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2510,5,Fremont,RESM3,,52,18,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2511,5,Fremont,RESM4,,52,23,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2512,5,Fremont,RESH1,,52,27,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2513,5,Fremont,RESH2,,52,35,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2514,5,Fremont,RESVH,,52,70,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2515,5,Fremont,COMCOM,0.5,40,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0,
2516,5,Fremont,COMHVR,0.25,40,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
2517,5,Fremont,COMN,0.3,35,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2518,5,Fremont,COMOFF,0.3,35,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0,
2519,5,Fremont,COMTH,0.3,35,,,0,0,0,0,1,0,0,0,0,1,1,1,1,0,
2520,5,Fremont,COMCBD,0.8,,,,0,0,0,1,1,0,0,0,0,1,1,0,0,0,
2521,5,Fremont,ComComResH1,0.5,52,27,,1,1,1,1,1,0,0,0,0,1,1,1,1,0,
2522,5,Fremont,ComComResH2,0.5,52,35,,1,1,1,1,1,0,0,0,0,1,1,1,1,0,
2523,5,Fremont,ComComResM4,0.5,52,23,,1,1,1,1,1,0,0,0,0,1,1,1,1,0,
2524,5,Fremont,ComNResH1,0.3,52,27,,1,1,1,0,0,0,0,0,0,1,0,1,1,0,
2525,5,Fremont,ComNResMed1,0.3,52,10,,1,1,0,0,0,0,0,0,0,1,0,1,1,0,
